,evolutionary_track,x,y,x2,xlog,ylog,xrange,yrange,xnormalization,ynormalization,kname,combination,mean_deviation,max_deviation,saveGPmodel,saveGPdata
66,m1.02_feh-4.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[51951024.27417312, 7452995310.024962]","[5056.89501647725, 6524.351649443053]",True,True,constant + exponential,True,3.283734071910177e-05,0.0002865345036926481,m1.02_feh-4.5_MLT1.9_fov0.018.gpdict,m1.02_feh-4.5_MLT1.9_fov0.018.gpdata
67,m0.9_feh-2.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[84654043.46102622, 13841332190.760263]","[4914.567540937278, 5976.544024066323]",True,True,constant + exponential,True,4.8138991064557094e-05,0.000515775234598892,m0.9_feh-2.5_MLT1.9_fov0.018.gpdict,m0.9_feh-2.5_MLT1.9_fov0.018.gpdata
68,m0.9_feh-4.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[80016363.16659375, 12207413857.650906]","[4998.747313901834, 6158.2781090305825]",True,True,constant + exponential,True,4.816283470078247e-05,0.0004825477049853477,m0.9_feh-4.0_MLT1.9_fov0.018.gpdict,m0.9_feh-4.0_MLT1.9_fov0.018.gpdata
69,m0.93_feh-4.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[67336815.76322982, 10467998073.675064]","[5032.952178871784, 6286.71553755044]",True,True,constant + exponential,True,5.109746529485322e-05,0.000502100151970053,m0.93_feh-4.5_MLT1.9_fov0.018.gpdict,m0.93_feh-4.5_MLT1.9_fov0.018.gpdata
70,m1.07_feh0.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[65699626.46790391, 9174549153.21578]","[4799.053255714357, 6052.9525968578055]",True,True,constant + exponential,True,3.8154815336120255e-05,0.00023818521721863384,m1.07_feh0.5_MLT1.9_fov0.018.gpdict,m1.07_feh0.5_MLT1.9_fov0.018.gpdata
71,m1.2_feh-2.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[39599346.21002133, 5020992723.096295]","[4979.609438264289, 6671.684276906838]",True,True,constant + exponential,True,9.423824871557964e-05,0.001418227703885444,m1.2_feh-2.0_MLT1.9_fov0.018.gpdict,m1.2_feh-2.0_MLT1.9_fov0.018.gpdata
72,m1.07_feh-2.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[54279624.31895581, 7290034535.146225]","[4958.632293209099, 6401.424109170142]",True,True,constant + exponential,True,7.263856810306148e-05,0.0005386902218921241,m1.07_feh-2.5_MLT1.9_fov0.018.gpdict,m1.07_feh-2.5_MLT1.9_fov0.018.gpdata
73,m0.97_feh-1.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[74105933.87666573, 11273879362.263678]","[4878.16433060004, 6044.85242682932]",True,True,constant + exponential,True,9.086431823297967e-05,0.000457429521831032,m0.97_feh-1.5_MLT1.9_fov0.018.gpdict,m0.97_feh-1.5_MLT1.9_fov0.018.gpdata
74,m1.09_feh-1.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[54461590.31449359, 7558815888.950594]","[4765.837990460524, 6209.823125350044]",True,True,constant + exponential,True,3.997827082799803e-05,0.0005703211675990305,m1.09_feh-1.0_MLT1.9_fov0.018.gpdict,m1.09_feh-1.0_MLT1.9_fov0.018.gpdata
75,m0.97_feh1.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[86920654.04377447, 13903762175.514988]","[4737.561464343561, 5743.053814628596]",True,True,constant + exponential,True,6.0280405627086734e-05,0.0005898651024855983,m0.97_feh1.0_MLT1.9_fov0.018.gpdict,m0.97_feh1.0_MLT1.9_fov0.018.gpdata
